CMDLINE python mtest_matplotlib.py
MEM 1074.355469 1650176417.8765
MEM 1074.355469 1650176417.9865
MEM 1074.355469 1650176418.0975
MEM 1074.355469 1650176418.2085
MEM 1074.355469 1650176418.3196
MEM 1074.355469 1650176418.4305
MEM 1095.535156 1650176418.5405
MEM 1212.414062 1650176418.6525
MEM 1212.414062 1650176418.7635
MEM 1212.414062 1650176418.8735
MEM 1212.414062 1650176418.9845
MEM 1212.414062 1650176419.0945
MEM 1179.828125 1650176419.2045
MEM 1214.289062 1650176419.3155
MEM 1214.289062 1650176419.4265
MEM 1214.289062 1650176419.5365
MEM 1214.289062 1650176419.6466
MEM 1221.945312 1650176419.7575
MEM 1214.726562 1650176419.8686
MEM 1214.726562 1650176419.9785
MEM 1214.726562 1650176420.0895
MEM 1214.726562 1650176420.2006
MEM 1214.726562 1650176420.3106
MEM 1214.726562 1650176420.4215
MEM 1214.726562 1650176420.5325
MEM 1214.726562 1650176420.6426
MEM 1214.726562 1650176420.7525
MEM 1214.726562 1650176420.8635
MEM 1214.726562 1650176420.9755
MEM 1309.097656 1650176421.0865
MEM 1353.121094 1650176421.1965
MEM 1353.121094 1650176421.3065
MEM 1353.121094 1650176421.4175
MEM 1353.121094 1650176421.5285
MEM 1353.273438 1650176421.6395
MEM 1355.527344 1650176421.7505
MEM 1355.527344 1650176421.8615
MEM 1355.527344 1650176421.9715
MEM 1355.527344 1650176422.0815
MEM 1363.140625 1650176422.1915
MEM 1355.964844 1650176422.2996
MEM 1355.964844 1650176422.4085
MEM 1355.964844 1650176422.5175
MEM 1355.964844 1650176422.6275
MEM 1355.964844 1650176422.7385
MEM 1355.964844 1650176422.8485
MEM 1355.964844 1650176422.9585
MEM 1355.964844 1650176423.0695
MEM 1355.964844 1650176423.1805
MEM 1355.964844 1650176423.2915
MEM 1364.265625 1650176423.4035
MEM 1459.152344 1650176423.5147
MEM 1494.433594 1650176423.6265
MEM 1494.433594 1650176423.7375
MEM 1494.433594 1650176423.8485
MEM 1494.433594 1650176423.9605
MEM 1494.648438 1650176424.0715
MEM 1494.707031 1650176424.1835
MEM 1494.707031 1650176424.2935
MEM 1494.707031 1650176424.4045
MEM 1494.707031 1650176424.5155
MEM 1494.707031 1650176424.6255
MEM 1495.207031 1650176424.7365
MEM 1495.207031 1650176424.8485
MEM 1495.207031 1650176424.9585
MEM 1495.207031 1650176425.0695
MEM 1495.207031 1650176425.1805
MEM 1495.207031 1650176425.2915
MEM 1495.207031 1650176425.4016
MEM 1495.207031 1650176425.5125
MEM 1495.207031 1650176425.6225
MEM 1495.207031 1650176425.7345
MEM 1495.207031 1650176425.8445
MEM 1544.824219 1650176425.9555
MEM 1633.160156 1650176426.0665
MEM 1633.160156 1650176426.1776
MEM 1633.160156 1650176426.2885
MEM 1633.160156 1650176426.4005
MEM 1633.160156 1650176426.5115
MEM 1613.148438 1650176426.6215
MEM 1634.632812 1650176426.7335
MEM 1634.632812 1650176426.8445
MEM 1634.632812 1650176426.9535
MEM 1634.632812 1650176427.0635
MEM 1642.320312 1650176427.1735
MEM 1635.136719 1650176427.2846
MEM 1635.136719 1650176427.3955
MEM 1635.136719 1650176427.5035
MEM 1635.136719 1650176427.6145
MEM 1635.136719 1650176427.7256
MEM 1635.199219 1650176427.8365
MEM 1635.199219 1650176427.9465
MEM 1635.199219 1650176428.0575
MEM 1635.199219 1650176428.1685
MEM 1635.199219 1650176428.2795
MEM 1635.472656 1650176428.3905
MEM 853.613281 1650176428.5015
MEM 100.980469 1650176428.6125
MEM 198.082031 1650176428.7225
MEM 235.937500 1650176428.8325
MEM 235.937500 1650176428.9445
MEM 235.937500 1650176429.0535
MEM 235.937500 1650176429.1655
MEM 236.089844 1650176429.2755
MEM 236.089844 1650176429.3865
MEM 236.089844 1650176429.4975
MEM 236.089844 1650176429.6085
MEM 236.089844 1650176429.7205
MEM 236.089844 1650176429.8305
MEM 236.562500 1650176429.9405
MEM 236.562500 1650176430.0516
MEM 236.562500 1650176430.1625
MEM 236.562500 1650176430.2735
MEM 236.562500 1650176430.3846
MEM 236.562500 1650176430.4965
MEM 236.562500 1650176430.6065
MEM 236.562500 1650176430.7176
MEM 236.562500 1650176430.8285
MEM 236.562500 1650176430.9385
MEM 236.562500 1650176431.0485
MEM 244.949219 1650176431.1605
MEM 368.218750 1650176431.2715
MEM 375.156250 1650176431.3815
MEM 375.156250 1650176431.4936
MEM 375.156250 1650176431.6045
MEM 375.156250 1650176431.7145
MEM 332.210938 1650176431.8255
MEM 375.753906 1650176431.9365
MEM 375.753906 1650176432.0485
MEM 375.753906 1650176432.1585
MEM 375.753906 1650176432.2695
MEM 383.417969 1650176432.3815
MEM 376.195312 1650176432.4925
MEM 376.195312 1650176432.6035
MEM 376.195312 1650176432.7136
MEM 376.195312 1650176432.8245
MEM 376.195312 1650176432.9346
MEM 376.195312 1650176433.0455
MEM 376.195312 1650176433.1566
MEM 376.195312 1650176433.2675
MEM 376.195312 1650176433.3775
MEM 376.195312 1650176433.4885
MEM 376.628906 1650176433.6005
MEM 468.335938 1650176433.7105
MEM 516.550781 1650176433.8225
MEM 516.550781 1650176433.9335
MEM 516.550781 1650176434.0445
MEM 516.550781 1650176434.1556
MEM 516.550781 1650176434.2665
MEM 516.703125 1650176434.3775
MEM 516.703125 1650176434.4885
MEM 516.703125 1650176434.5995
MEM 516.703125 1650176434.7105
MEM 516.703125 1650176434.8215
MEM 524.441406 1650176434.9325
MEM 517.140625 1650176435.0425
MEM 517.140625 1650176435.1535
MEM 517.140625 1650176435.2645
MEM 517.140625 1650176435.3765
MEM 517.140625 1650176435.4865
MEM 517.140625 1650176435.5965
MEM 517.140625 1650176435.7075
MEM 517.140625 1650176435.8165
MEM 517.140625 1650176435.9255
MEM 517.140625 1650176436.0335
MEM 517.140625 1650176436.1435
MEM 571.265625 1650176436.2545
MEM 656.710938 1650176436.3665
MEM 656.710938 1650176436.4765
MEM 656.710938 1650176436.5865
MEM 656.710938 1650176436.6985
MEM 656.710938 1650176436.8075
MEM 656.863281 1650176436.9186
MEM 656.863281 1650176437.0295
MEM 656.863281 1650176437.1395
MEM 656.863281 1650176437.2495
MEM 656.863281 1650176437.3615
MEM 664.539062 1650176437.4715
MEM 657.304688 1650176437.5825
MEM 657.304688 1650176437.6935
MEM 657.304688 1650176437.8045
MEM 657.304688 1650176437.9145
MEM 657.304688 1650176438.0255
MEM 657.304688 1650176438.1346
MEM 657.304688 1650176438.2465
MEM 657.304688 1650176438.3585
MEM 657.304688 1650176438.4695
MEM 657.304688 1650176438.5805
MEM 657.304688 1650176438.6905
MEM 695.519531 1650176438.8005
MEM 795.753906 1650176438.9115
MEM 795.753906 1650176439.0235
MEM 795.753906 1650176439.1345
MEM 795.753906 1650176439.2445
MEM 795.753906 1650176439.3555
MEM 752.695312 1650176439.4676
MEM 796.300781 1650176439.5785
MEM 796.300781 1650176439.6895
MEM 796.300781 1650176439.7995
MEM 796.300781 1650176439.9115
MEM 803.902344 1650176440.0215
MEM 796.738281 1650176440.1335
MEM 796.738281 1650176440.2445
MEM 796.738281 1650176440.3555
MEM 796.738281 1650176440.4676
MEM 796.738281 1650176440.5775
MEM 796.738281 1650176440.6885
MEM 796.738281 1650176440.8006
MEM 796.738281 1650176440.9125
MEM 796.738281 1650176441.0245
MEM 796.738281 1650176441.1365
MEM 796.738281 1650176441.2485
MEM 804.925781 1650176441.3605
MEM 925.843750 1650176441.4715
MEM 935.023438 1650176441.5835
MEM 935.023438 1650176441.6955
MEM 935.023438 1650176441.8075
MEM 935.023438 1650176441.9195
MEM 935.175781 1650176442.0305
MEM 935.175781 1650176442.1415
MEM 935.175781 1650176442.2525
MEM 935.175781 1650176442.3645
MEM 935.175781 1650176442.4765
MEM 942.847656 1650176442.5865
MEM 935.613281 1650176442.6986
MEM 935.613281 1650176442.8105
MEM 935.613281 1650176442.9225
MEM 935.613281 1650176443.0335
MEM 935.613281 1650176443.1456
MEM 935.613281 1650176443.2555
MEM 935.613281 1650176443.3675
MEM 935.613281 1650176443.4775
MEM 935.613281 1650176443.5865
MEM 935.613281 1650176443.6975
MEM 935.660156 1650176443.8075
MEM 1025.378906 1650176443.9185
MEM 1074.519531 1650176444.0305
MEM 1074.519531 1650176444.1425
MEM 1074.519531 1650176444.2535
MEM 1074.519531 1650176444.3645
MEM 1074.671875 1650176444.4755
MEM 1074.964844 1650176444.5855
MEM 1074.964844 1650176444.6965
MEM 1074.964844 1650176444.8075
MEM 1074.964844 1650176444.9175
MEM 1074.964844 1650176445.0275
MEM 1082.699219 1650176445.1376
MEM 1075.402344 1650176445.2495
MEM 1075.402344 1650176445.3615
MEM 1075.402344 1650176445.4725
MEM 1075.402344 1650176445.5815
MEM 1075.402344 1650176445.6915
MEM 1075.402344 1650176445.8025
MEM 1075.402344 1650176445.9135
MEM 1075.402344 1650176446.0246
MEM 1075.402344 1650176446.1355
MEM 1075.402344 1650176446.2465
MEM 1083.492188 1650176446.3585
MEM 1185.722656 1650176446.4695
MEM 1213.992188 1650176446.5805
MEM 1213.992188 1650176446.6915
MEM 1213.992188 1650176446.8005
MEM 1213.992188 1650176446.9115
MEM 1214.144531 1650176447.0215
MEM 1214.781250 1650176447.1325
MEM 1214.781250 1650176447.2426
MEM 1214.781250 1650176447.3535
MEM 1214.781250 1650176447.4645
MEM 1214.781250 1650176447.5755
MEM 1215.218750 1650176447.6855
MEM 1215.218750 1650176447.7965
MEM 1215.218750 1650176447.9075
MEM 1215.218750 1650176448.0175
MEM 1215.218750 1650176448.1275
MEM 1215.218750 1650176448.2375
MEM 1215.218750 1650176448.3485
MEM 1215.218750 1650176448.4585
MEM 1215.218750 1650176448.5695
MEM 1215.218750 1650176448.6805
MEM 1215.218750 1650176448.7895
MEM 1238.902344 1650176448.9016
MEM 1353.382812 1650176449.0135
MEM 1353.382812 1650176449.1255
MEM 1353.382812 1650176449.2365
MEM 1353.382812 1650176449.3475
MEM 1353.382812 1650176449.4575
MEM 1316.988281 1650176449.5695
MEM 1355.386719 1650176449.6795
MEM 1355.386719 1650176449.7895
MEM 1355.386719 1650176449.8985
MEM 1355.386719 1650176450.0105
MEM 1362.996094 1650176450.1205
MEM 1355.832031 1650176450.2315
MEM 1355.832031 1650176450.3415
MEM 1355.832031 1650176450.4535
MEM 1355.832031 1650176450.5625
MEM 1355.832031 1650176450.6735
MEM 1355.832031 1650176450.7845
MEM 1355.832031 1650176450.8945
MEM 1355.832031 1650176451.0045
MEM 1355.832031 1650176451.1155
MEM 1355.832031 1650176451.2265
MEM 1355.832031 1650176451.3385
MEM 1386.570312 1650176451.4495
MEM 1495.023438 1650176451.5605
MEM 1495.023438 1650176451.6715
MEM 1495.023438 1650176451.7835
MEM 1495.023438 1650176451.8945
MEM 1495.023438 1650176452.0055
MEM 1495.179688 1650176452.1155
MEM 1495.179688 1650176452.2265
MEM 1495.179688 1650176452.3365
MEM 1495.179688 1650176452.4465
MEM 1495.179688 1650176452.5585
MEM 1502.792969 1650176452.6705
MEM 1495.617188 1650176452.7825
MEM 1495.617188 1650176452.8936
MEM 1495.617188 1650176453.0026
MEM 1495.617188 1650176453.1115
MEM 1495.617188 1650176453.2215
MEM 1495.617188 1650176453.3325
MEM 1495.617188 1650176453.4435
MEM 1495.617188 1650176453.5535
MEM 1495.617188 1650176453.6645
MEM 1495.617188 1650176453.7745
MEM 1495.617188 1650176453.8845
MEM 1503.648438 1650176453.9955
MEM 1621.761719 1650176454.1065
MEM 1634.425781 1650176454.2186
MEM 1634.425781 1650176454.3305
MEM 1634.425781 1650176454.4415
MEM 1634.425781 1650176454.5525
MEM 1634.578125 1650176454.6635
MEM 1635.328125 1650176454.7745
MEM 1635.328125 1650176454.8845
MEM 1635.328125 1650176454.9955
MEM 1635.328125 1650176455.1056
MEM 1635.328125 1650176455.2165
MEM 1635.761719 1650176455.3265
MEM 1635.765625 1650176455.4375
MEM 1635.765625 1650176455.5485
MEM 1635.765625 1650176455.6595
MEM 1635.765625 1650176455.7705
MEM 1635.765625 1650176455.8825
MEM 1635.796875 1650176455.9925
MEM 1635.796875 1650176456.1035
MEM 1635.796875 1650176456.2135
MEM 1635.796875 1650176456.3245
MEM 1635.796875 1650176456.4355
MEM 1635.851562 1650176456.5465
MEM 985.632812 1650176456.6575
MEM 277.937500 1650176456.7685
MEM 161.734375 1650176456.8795
MEM 238.683594 1650176456.9915
MEM 238.683594 1650176457.1015
MEM 238.683594 1650176457.2125
MEM 238.683594 1650176457.3235
MEM 238.683594 1650176457.4335
MEM 238.835938 1650176457.5455
MEM 238.835938 1650176457.6565
MEM 238.835938 1650176457.7675
MEM 238.835938 1650176457.8785
MEM 238.835938 1650176457.9895
MEM 246.496094 1650176458.1005
MEM 239.269531 1650176458.2115
MEM 239.269531 1650176458.3225
MEM 239.269531 1650176458.4325
MEM 239.269531 1650176458.5445
MEM 239.269531 1650176458.6555
MEM 239.269531 1650176458.7655
MEM 239.269531 1650176458.8765
MEM 239.269531 1650176458.9875
MEM 239.269531 1650176459.0985
MEM 239.269531 1650176459.2085
MEM 239.269531 1650176459.3196
MEM 252.019531 1650176459.4305
MEM 377.011719 1650176459.5406
MEM 377.011719 1650176459.6515
MEM 377.011719 1650176459.7625
MEM 377.011719 1650176459.8735
MEM 377.011719 1650176459.9855
