CMDLINE python mtest_dates_simpleplots.py
MEM 93.425781 1650190308.7760
MEM 86.097656 1650190308.8841
MEM 86.097656 1650190308.9921
MEM 93.425781 1650190309.1000
MEM 86.097656 1650190309.2090
MEM 86.097656 1650190309.3180
MEM 93.425781 1650190309.4250
MEM 86.097656 1650190309.5340
MEM 86.097656 1650190309.6410
MEM 93.425781 1650190309.7480
MEM 86.097656 1650190309.8570
MEM 86.097656 1650190309.9670
MEM 93.425781 1650190310.0740
